,분류,공연/행사명,날짜/시간,장소,이용대상,이용요금,홈페이지?주소,대표이미지,유무료
689,교육/체험,[구립증산정보도서관] 4월 어린이 독서퀴즈,2025-04-02~2025-04-28,3층 어린이열람실,어린이 열람실 이용자 누구나,,https://www.jsplib.or.kr/culture/event.asp?mode=view&lecture_seq=2199&listname=normal,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=7bd917f948f2434d9fef90c82ad278d2&thumb=Y,무료
690,교육/체험,[구립증산정보도서관] 구립증산정보도서관 스마트 아카데미 활용,2025-04-02~2025-04-23,4층 문화강좌실, 성인 55세이상 20명,,https://www.jsplib.or.kr/culture/event.asp?mode=view&lecture_seq=2190&listname=normal,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=3969bf51ed6046218ba496d1af4ad016&thumb=Y,무료
691,콘서트,[마포문화재단] 2025 제7회 서울 탭댄스 페스티벌,2025-04-02~2025-04-06,마포아트센터  플레이맥,8세이상관람가능,"전석 30,000원",https://www.mfac.or.kr/performance/whole_view.jsp?sc_b_category=17&sc_b_code=BOARD_1207683401&pk_seq=2462,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=1d44c6a63f5f45e8b304f4413d8c8da7&thumb=Y,유료
692,축제-문화/예술,"[송파구] 아름다운 봄, 벚꽃이야기 호수벚꽃축제",2025-04-02~2025-04-06,송파구 석촌호수,누구나,,https://www.songpa.go.kr/culture/detailInfo.do?key=3794&resrceCd=CT0155-1000031&,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=7fb49e4db2454de09cb9f428f84323a6&thumb=Y,무료
693,클래식,CAELIS ENSEMBLE [동행 I],2025-04-02~2025-04-02,세종체임버홀,7세 이상 관람 가능,"전석 20,000원",https://www.sejongpac.or.kr/portal/performance/performance/performTicket.do?performIdx=36087&menuNo=200320,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=ad4d8bef05634fbc9cfea3fb839a5b26&thumb=Y,유료
694,클래식,홍은선 첼로 독주회 [낭만속으로],2025-04-02~2025-04-02,예술의전당 IBK기업은행챔버홀,초등학생 이상,"R석 50,000원, S석 30,000원",https://tickets.interpark.com/goods/25002489,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=76962f4a73624bc3a7f31bcd72232fbc&thumb=Y,유료
695,클래식,루도비코 에이나우디 내한공연,2025-04-02~2025-04-02,세종대극장,7세 이상 관람 가능,"R석 165,000원 S석 132,000원 A석 88,000원 B석 66,000원",https://www.sejongpac.or.kr/portal/performance/performance/performTicket.do?performIdx=35855&menuNo=200320,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=8d7595ecc036400d9046275854856c23&thumb=Y,유료
696,클래식,"[강동문화재단] 마티네 콘서트 [낭만드림] 4월, 반도네온 고상지X피아니스트 오은철",2025-04-02~2025-04-02,강동아트센터 소극장 드림,8세 이상,"전석 20,000원",https://www.gdfac.or.kr/product/ko/performance/258192,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=00668146ab75463a91491f7b1bb71ecf&thumb=Y,유료
697,교육/체험,[서울도서관] 엄마 북(Book)돋움 육아강연 프로그램 [부모성장 프로젝트: 1. 교감],2025-04-02~2025-04-02,온라인(Zoom),임산부 또는 영유아 양육자 누구나,,https://lib.seoul.go.kr/lecture/applyDetail/5861,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=17c6651ac7e24fac9e11f964380147b1&thumb=Y,무료
698,교육/체험,[서울생활문화센터 낙원] 좋은노래공작소 시리즈 1 [아낙동],2025-04-01~2025-11-30,서울생활문화센터 낙원 안내실(5번),일반시민,,https://www.instagram.com/p/DGAItPdS2kL/,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=4a27a900395f4db0bcd5a3401cbad59d&thumb=Y,무료
699,교육/체험,[서울대공원] 서울동물원 동물사랑!유치원 (5~7세 유아반),2025-04-01~2025-11-07,서울동물원,5~7세 어린이집 및 유치원 등 유아교육기관,,https://grandpark.seoul.go.kr/edu/program/view/ko/S001005001002.do?seq=312&pageIndex=1&seq=311&pageIndex=1,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=76b6692374774aa6b483c2f22f6f6b91&thumb=Y,무료
700,교육/체험,[운현궁] 2025 운현궁 예절교실,2025-04-01~2025-11-07,운현궁 이로당,상세내용 참고,"[유아, 초등부] 15,000원 / [중등, 고등부] 18,000원 / [성인] 20,000원",https://www.unhyeongung.or.kr/sub/prpgram/education_list.php?abmode=view&no=1554&group=basic&code=B35,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=548d13e13ce34e8384460f9410d17a62&thumb=Y,유료
701,교육/체험,[서울대공원] 2025 서울동물원 꼬마동물교실(3~4세 영아반),2025-04-01~2025-11-07,서울동물원,3~4세 영유아,,https://grandpark.seoul.go.kr/edu/program/view/ko/S001005001002.do?seq=311&pageIndex=1,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=1595928971df4609a4aedd2a33ebd441&thumb=Y,무료
702,교육/체험,[서울대공원] 2025 [학교에서 만나는 동물원] 비대면 교육,2025-04-01~2025-10-31,각 기관,초등학교 특수학급,,https://grandpark.seoul.go.kr/edu/program/view/ko/S001005001002.do?seq=315&pageIndex=1,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=bc431da481d24b138feb7ebd43399171&thumb=Y,무료
703,교육/체험,[서울대공원] 2025 동물해설 단체교육,2025-04-01~2025-10-31,서울대공원,"초, 중, 고등학교 단체",동물원 입장료 별도,https://grandpark.seoul.go.kr/edu/program/view/ko/S001005001002.do?seq=316&pageIndex=1&seq=316&pageIndex=1&seq=314&pageIndex=1,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=9667e738cdca47f486d00b493e392f1d&thumb=Y,무료
704,교육/체험,[서울대공원] 2025 띵똥! 서울동물원 교육꾸러미 비대면 교육 (초등학교 특수학급 대상),2025-04-01~2025-10-31,각 기관,초등학교 특수학급,,https://grandpark.seoul.go.kr/edu/program/view/ko/S001005001002.do?seq=314&pageIndex=1,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=d89e9a88899e4365a92eac176bb0eb4b&thumb=Y,무료
705,교육/체험,[서울대공원] 2025 희망 힐링 주 아카데미,2025-04-01~2025-10-30,서울대공원,"청소년(중, 고등학교 특수학급)",동물원 입장료 별도,https://grandpark.seoul.go.kr/edu/program/view/ko/S001005001002.do?seq=317&pageIndex=1&seq=317&pageIndex=1,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=71c2ce9da9f94be1942a8350066d3131&thumb=Y,무료
706,교육/체험,[서울대공원] 2025 곰두리 동물교실 (장애학급 단체),2025-04-01~2025-10-27,서울동물원,초등학교 특수학급,,https://grandpark.seoul.go.kr/edu/program/view/ko/S001005001002.do?seq=313&pageIndex=1,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=babbf10947a04092bd13cb8fd342b7a4&thumb=Y,무료
707,교육/체험,[관악문화재단] 2025년 싱글벙글교육센터 2분기 평생학습 교육프로그램,2025-04-01~2025-06-30,싱글벙글교육센터,강좌별 상이,홈페이지 참고,https://gfac.or.kr/site/main/archive/post/2025%EB%85%84-%EC%8B%B1%EA%B8%80%EB%B2%99%EA%B8%80%EA%B5%90%EC%9C%A1%EC%84%BC%ED%84%B0-2%EB%B6%84%EA%B8%B0-%ED%8F%89%EC%83%9D%ED%95%99%EC%8A%B5-%EA%B5%90%EC%9C%A1%ED%94%84%EB%A1%9C%EA%B7%B8%EB%9E%A8-%EC%88%98%EA%B0%95%EC%83%9D-%EB%AA%A8%EC%A7%91?cp=1&sortDirection=ASC&listType=list&catId=1&catSlug=%EC%9E%AC%EB%8B%A8%EC%86%8C%EC%8B%9D,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=2c8c54cd13294fbb9e3bc5188df520f2&thumb=Y,유료
708,교육/체험,[돌곶이생활예술문화센터] 4~5월 프로그램 안내,2025-04-01~2025-05-31,돌곶이생활예술문화센터,프로그램별 상이,프로그램별 상이,https://www.sbculture.or.kr/culture/bbs/BMSR00005/view.do?boardId=27695&menuNo=500144,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=b6d45eeafa544e43a662f7e4bbd6beb0&thumb=Y,유료
709,교육/체험,[세종예술아카데미] 어반드로잉(중급),2025-04-01~2025-05-27,세종예술아카데미 스퀘어홀,본격적으로 여행드로잉을 해보고 싶은 수강생,"360,000원",https://www.sejongpac.or.kr/portal/academy/academyProgram/view.do?courseCd=CS102103250230000010&menuNo=200560&searchYear=2025&listType=1&pageIndex=1,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=1a8c87fff0904416938f85b167ef551c&thumb=Y,유료
710,축제-문화/예술,[중구청] 2025년 명동아트브리즈 MEET @ARTBREEZE [부제 : 명동아트브리즈 봄을 그려봄],2025-04-01~2025-04-30,명동아트브리즈(중구 남대문로52-20),전체관람,,https://www.junggu.seoul.kr/content.do?cmsid=14231&mode=view&cid=1350865571,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=4115bad021f344abb2b7cea3368bdcff&thumb=Y,무료
711,교육/체험,[중랑문화재단] 나대기 예술아카데미 4월,2025-04-01~2025-04-30,중랑아트센터 프로그램실/ 시청각실,성인,프로그램별 상이 (상세 내용 참조),https://www.jnfac.or.kr/art/edu/view/577,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=fb4051ef368f4b2cb428c8bf275f9832&thumb=Y,유료
712,교육/체험,[마포구립서강도서관] 4월 문화프로그램 안내,2025-04-01~2025-04-30,마포구립서강도서관,누구나,,https://mplib.mapo.go.kr/sglib/MENU1199/PGM3028/eventDetail.do?currentPageNo=1&eventSn=10127,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=ac5dca84cd4348eb958a2a420b1029ba&thumb=Y,무료
713,영화,[청춘극장] 2025년 4월 영화 및 공연 프로그램,2025-04-01~2025-04-30,청춘극장 문화일보홀,프로그램별 상이,"2,000원 (공연 관람료 3,000원)",https://cafe.naver.com/seoulsilvercinema,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=70cc61fad5d04f328ed22eec502c6c35&thumb=Y,유료
714,전시/미술,DDP SHOWROOM X 유네스코 국제무예센터,2025-04-01~2025-04-30,DDP 쇼룸 1F 스테이지,전체관람,,https://ddp.or.kr/index.html?menuno=239&siteno=2&bbsno=554&boardno=15&bbstopno=554&act=view&subno=,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=e0168aa442d745f6ba5e6822b1fddc95&thumb=Y,무료
715,교육/체험,[송파 청년아티스트센터] 예술가와 함께하는 풍납 탐구 생활 4월 프로그램,2025-04-01~2025-04-30,송파 청년아티스트센터 1층,누구나 이용 가능,,https://linktr.ee/artistcenter_songpa,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=cd0fc4c182354356ad9fcb90f75ca3a5&thumb=Y,무료
716,교육/체험,[서울돈화문국악당] 투어 프로그램 [돈화문 샅샅] 4월,2025-04-01~2025-04-29,서울돈화문국악당,누구나,무료,https://sdtt.or.kr/user/program/2025/4/1683,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=d48104fa461e454f9fe46a9d09f7fc50&thumb=Y,무료
717,교육/체험,"[청계천박물관] 4월 개방형교육 [우리들의 친구, 청계천박물관]",2025-04-01~2025-04-29,청계천박물관 교육실,[오전] 유아 단체(5~7세) ※개인 신청 불가/ [오후] 5~7세 어린이를 동반한 가족,,https://museum.seoul.go.kr/cgcm/board/NR_boardList.do?bbsCd=1064,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=e3f2ee56b74e42ce8797a70904516e62&thumb=Y,무료
718,교육/체험,[구립증산정보도서관] 테마로 즐기는 도서관 - 4월 테마전시체험전 [해가 왔다],2025-04-01~2025-04-27,1층 로비 및 가족열람실,도서관 이용자 누구나,,https://www.jsplib.or.kr/culture/event.asp?mode=view&lecture_seq=2200&listname=normal,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=1fa6d84851244abe9f99ddff8907a3ce&thumb=Y,무료
719,축제-문화/예술,[강북문화재단] 2025 어린이문화예술프로그램 [강북 그림책 아트 플레이],2025-04-01~2025-04-26,강북문화예술회관 강북진달래홀 공연장,4세 이상,,https://www.gbcf.or.kr/load.asp?subPage=110.View&page=1&idx=312,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=d693df3691b14610861800c742278bb7&thumb=Y,무료
720,교육/체험,[서울공예박물관] 또롱또롱 마법사 금도목섬!,2025-04-01~2025-04-09,서울공예박물관 전시3동 1층 교육실,초등 1~2학년 어린이 (2017~18년생),,https://craftmuseum.seoul.go.kr/progrm/view/319,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=16fbb4d29e474f82bbbc252b67e6be7b&thumb=Y,무료
721,클래식,구희원 바이올린 독주회,2025-04-01~2025-04-01,예술의전당 인춘아트홀,미취학아동 입장불가,"전석 20,000원",https://www.sac.or.kr/site/main/show/show_view?SN=72458,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=3b445f1761ea4ea0bae34621e4875147&thumb=Y,유료
722,클래식,2025 서울시향 우리동네 음악회 실내악,2025-04-01~2025-04-01,서울아트센터 도암홀,시민 누구나,,https://www.seoulphil.or.kr/perf/view?perfNo=6680&calendarDate=2025/04/01&langCd=ko&menuFlag=MFLG0001,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=c06443a47fd642189bb3cc6e4c9717e0&thumb=Y,무료
723,클래식,[강남문화재단] 강남합창단 제46회 정기연주회 [서효정 예술감독 취임 연주],2025-04-01~2025-04-01,광림아트센터 장천홀,8세 이상 관람가,,https://www.gangnam.go.kr/office/gfac/board/gfac_perform08/22/view.do?mid=gfac_perform0102,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=812f17690cde46f9b3a89c3c4c6eba20&thumb=Y,무료
724,클래식,피아노블러바드 듀오 콘서트,2025-04-01~2025-04-01,세종문화회관 체임버홀,누구나,"30,000원",https://www.sejongpac.or.kr/portal/performance/performance/performTicket.do?performIdx=36082&menuNo=200320,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=385b241b6115492f954df60f070c64af&thumb=Y,유료
725,영화,[서초문화재단] 2025 심산 영화관 [스타 이즈 본],2025-04-01~2025-04-01,심산기념문화센터 반포심산아트홀,15세 이상,,https://www.seochocf.or.kr/site/main/seocho/show/view?show_idx=799,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=943a97394be448a4a1c702a0e7aa82d5&thumb=Y,무료
726,클래식,[세종문화회관] 4월 누구나 클래식 [윤유선의 해설 클래식 - 영아티스트를 만나다],2025-04-01~2025-04-01,세종문화회관 세종대극장,2018년 이전 출생자,"관람료선택제 1,000원 3,000원 5,000원 10,000원",https://www.sejongpac.or.kr/portal/performance/performance/performTicket.do?performIdx=36043&menuNo=200320,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=9d48222a98ee4df18c047dfcf67d170f&thumb=Y,유료
727,전시/미술,2025 아뜰리에 광화 봄 전시 [여명] 순환하는 감정,2025-03-31~2025-06-19,세종문화회관 외벽 미디어 갤러리,누구나,,https://news.seoul.go.kr/culture/archives/527193,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=21d9af4956b34c778530946a9d710536&thumb=Y,무료
728,전시/미술,2025 해치마당 미디어월 봄 전시,2025-03-31~2025-06-19,광화문 역 9번출구 진입로 벽면 해치마당 미디어월,누구나,,https://news.seoul.go.kr/culture/archives/527394,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=c6db69bcf1fc45b7983edcc47c0d22db&thumb=Y,무료
729,클래식,최세린 피아노 독주회,2025-03-31~2025-03-31,세종문화회관 체임버홀,초등학생 이상,"전석 20,000원",https://blog.naver.com/clara32/223755035709,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=eb90a557a51c40ce829caa286f8fa08e&thumb=Y,유료
730,클래식,[서울시립교향악단] 2025 서울시향 작은 음악회,2025-03-31~2025-03-31,서울대학교병원 대한외래 로비,초등학생 이상 관람가,무료,https://www.seoulphil.or.kr/perf/view?perfNo=6658&calendarDate=2025/03/31&langCd=ko&menuFlag=MFLG0001,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=b1c904e5ce7c40999a155b10e1a4fdfc&thumb=Y,무료
731,교육/체험,[서울시립과학관] 과학북토크 2025 달작한 사이언스 (전체일정),2025-03-30~2025-11-30,서울시립과학관 1층 사이언스 홀,중학생 이상 및 성인,무료,https://science.seoul.go.kr/culture/science/read?menuId=14&progMstId=1120,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=b9d4574d83774f3987bbfcf62ee0a235&thumb=Y,무료
732,콘서트,"[Musica Pictura, Pictura Musica - 시각으로 향하는 전주] Musica Pictura, Pictura Musica | 보는 음악, 듣는 미술",2025-03-30~2025-03-30,이호철북콘서트홀,누구나,"10,000원",https://blog.naver.com/lbch_museum/223802180156,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=53ebcf939b8849b8a9994ef976ff5c30&thumb=Y,유료
733,클래식,이선미 피아노 독주회,2025-03-30~2025-03-30,예술의전당 인춘아트홀,초등학생 이상,"일반석 30,000원",https://tickets.interpark.com/goods/25001076,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=f6925deb9acc49e2a7aecccfafdb8377&thumb=Y,유료
734,독주/독창회,최민주 귀국 바이올린 독주회 ,2025-03-30~2025-03-30,금호아트홀 연세 ,미취학 입장불가 ,"전석 20,000원 (학생 10,000원)",http://withclassic.kr/product/view.html?pid=13&cate1=94&cate2=97&no=417,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=c4dc4269de73436d9fa30a2b0249d37b&thumb=Y,유료
735,교육/체험,[성동구립도서관] 영어스토리텔링_3월,2025-03-30~2025-03-30,성동구립도서관,어린이,,https://www.sdlib.or.kr/SD,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=7c889995fcc44e4fb501e2b84ea0e5b4&thumb=Y,무료
736,교육/체험,[서울시립과학관] 과학북토크: 달작한 사이언스 (3월) [속절없이 빠져드는 화학전쟁사],2025-03-30~2025-03-30,서울시립과학관 사이언스홀,과학과 책을 좋아하는 누구나,,https://science.seoul.go.kr/culture/science/read?menuId=15&progMstId=1125,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=f000c320d0f3489499e313232b664918&thumb=Y,무료
737,클래식,양승희 바이올린 독주회 [Violin Sonata Odyssey: From Baroque to Romantic],2025-03-30~2025-03-30,예술의전당 리사이틀홀,초등학생 이상,"일반석 30,000원",https://tickets.interpark.com/contents/search?keyword=%EC%96%91%EC%8A%B9%ED%9D%AC&start=0&rows=20,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=500ccf16cddc4e5592be94f1ed9656c3&thumb=Y,유료
738,교육/체험,[세종예술아카데미] 스테들러와 함께하는 여행드로잉 클래스,2025-03-29~2025-07-19,세종예술아카데미 시퀘어홀 외,드로잉에 대한 열정과 의지가 있는 만 19세 이상의 성인,"500,000원",https://www.sejongpac.or.kr/portal/academy/academyProgram/view.do?courseCd=CS102103250230000011&menuNo=200560,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=a4b29ac8f71e4c3d847359eb5d136c80&thumb=Y,유료
739,교육/체험,2025 국립극장 어린이 예술학교 유아 일일 체험,2025-03-29~2025-05-24,국립극장 뜰아래연습장,어린이 동반 가족,2만 원,https://www.ntok.go.kr/ntok/em/edu/selectEduIntroInfo.do?eduSn=3795&mi=21029,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=b16c348ff5064adb820eb48c2dc51878&thumb=Y,유료
740,교육/체험,[서울시립과학관] 2025 토요과학강연,2025-03-29~2025-05-24,서울시립과학관 1층 사이언스홀,과학에 관심있는 누구나,,https://science.seoul.go.kr/culture/science/read?menuId=15&progMstId=1140,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=8f2094b2feeb4418b4090a842f3753d6&thumb=Y,무료
741,교육/체험,[서울시립과학관] 2025 토요과학강연,2025-03-29~2025-05-24,서울시립과학관 1층 사이언스홀,이공계 진로를 고민하는 학생부터 과학에 관심이 많은 성인까지(누구나),,https://science.seoul.go.kr/culture/science/read?menuId=15&progMstId=1140,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=2c66bcb2e09b48fda5e7a72770a0b6f2&thumb=Y,무료
742,교육/체험,[서울시립 미술아카이브] 바리의 모험,2025-03-29~2025-04-20,서울시립 미술아카이브 배움동 2층 모두의 교실,어린이,,https://sema.seoul.go.kr/kr/whatson/education/detail?acadmyEeNo=1383164,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=0c4ccbd7509b420cb3ba678c6fa21dc1&thumb=Y,무료
743,교육/체험,[마포구립서강도서관] 3월/성인 메이킹 시선이 담긴 미술 글쓰기 / Book Cx클래스,2025-03-29~2025-04-19,서강도서관 3층 Book C,일반 10명,,https://mplib.mapo.go.kr/sglib/MENU1199/PGM3028/eventDetail.do?currentPageNo=1&eventSn=10067,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=a2ebde400c594fc28653d1da5f7d22c3&thumb=Y,무료
744,교육/체험,[서울돈화문국악당] 2025 산조대전 마스터 클래스,2025-03-29~2025-03-30,서울돈화문국악당 B1 스튜디오,국악 전공자(2025 산조대전 티켓 구매자 대상) ,,https://sdtt.or.kr/user/program/2025/3/1680,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=d9c1476ce6e04d1395dc1657f6bf4bd8&thumb=Y,무료
745,교육/체험,[구립증산정보도서관] 문화가 있는 도서관 3월 로비 체험 [반짝 키링 만들기],2025-03-29~2025-03-29,구립증산정보도서관 1층 로비,도서관 이용자 누구나,,https://www.jsplib.or.kr/culture/event.asp?mode=view&lecture_seq=2182&listname=normal,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=56a49e9a6b444d2890727996bd07be7f&thumb=Y,무료
746,클래식,[서울시립교향악단] 2025 서울시향 실내악 시리즈 I: 알반 게르하르트,2025-03-29~2025-03-29,세종문화회관 체임버홀,초등학생 이상 관람가,"R 70,000원 S 40,000원 A 10,000원",https://www.seoulphil.or.kr/perf/view?perfNo=6439&calendarDate=2025/03/29&langCd=ko&menuFlag=MFLG0001,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=a2015faab15e4cf9a8746fb56267b1bb&thumb=Y,유료
747,콘서트,2025 봄에 내리는 젠틀레인 Theme Park,2025-03-29~2025-03-29,구로아트밸리 예술극장,만 7세 이상,"VIP석 77,000원 R석 66,000원 S석 55,000원 A석 44,000원",https://tickets.interpark.com/goods/25000656,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=044cdf17ada34ab8bc7c1ee8b5531679&thumb=Y,무료
748,교육/체험,[서울시립 미술아카이브] 《우리는 끊임없이 다른 강에 스며든다》 연계 대화프로그램,2025-03-29~2025-03-29,서울시립 미술아카이브 나눔동 2층,누구나,,https://sema.seoul.go.kr/kr/whatson/event/detail?evtNo=1385275,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=f8a6a396dd49445a91081b96c3635b96&thumb=Y,무료
749,교육/체험,문예북흥 No.16 하응백 - 이야기꾼 하응백 첫 소설 [남중南中]으로 인생의 황홀한 순간에서 자기 자신을 낚아 올리다.,2025-03-29~2025-03-29,이호철북콘서트홀,누구나,무료(if 디자인 어워드 수상 기념),https://blog.naver.com/lbch_museum/223797173234,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=4293df9f7f0744ec88472270658e2a02&thumb=Y,무료
750,뮤지컬/오페라,[노원문화원] 2025 노원문화원 국악예술단 정기공연 [홍범도],2025-03-29~2025-03-29,노원문화예술회관 대공연장,6세 이상,,https://www.nwcc.or.kr/sub/notification/notice/news.php?mode=view&bid=1&s_type=&s_keyword=&s_cate=&idx=7130&page=1,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=60dc1b87f67b4ecf816e596b77ffc7b7&thumb=Y,무료
751,콘서트,"[강동문화재단] 뮤지컬 콘서트 [심포니 오브 뮤지컬] with 옥주현, 이지혜, 김성식",2025-03-29~2025-03-29,강동아트센터 대극장 한강,8세 이상,"R석 110,000원, S석 80,000원, A석 60,000원",https://www.gdfac.or.kr/product/ko/performance/258194,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=06b5c4334fc64887a61edc936e3cdd10&thumb=Y,유료
752,전시/미술,[서울공예박물관] 공예동행@쇼윈도 #1. 주름진 도시(Wrinkled City),2025-03-28~2025-05-11,서울공예박물관 전시3동 1층 쇼윈도 갤러리,누구나,,https://craftmuseum.seoul.go.kr/exhibit/plan/view/155,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=fdaa9d7722894c12a5f33b7388dec321&thumb=Y,무료
753,연극,[세종문화회관] 서울시극단 [코믹],2025-03-28~2025-04-20,세종M씨어터,2012년 이전 출생자 관람 가능 (2012년생 포함),"R석 60,000원 S석 50,000원 A석 40,000원",https://www.sejongpac.or.kr/portal/performance/performance/performTicket.do?performIdx=35919&menuNo=200320#none,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=5685de4c73a04fd197dffbda318a943a&thumb=Y,유료
754,전시/미술,[겸재정선미술관] 김현철 개인전 2부 [진경],2025-03-28~2025-04-12,"겸재정선미술관 제1,2기획전시실",전체관람가,"1,000원",https://culture.gangseo.seoul.kr/gsfc/culture/kgallery/display/view.do?menuNo=800067&cultureSn=140,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=9b9817bb94e246f7873dbf9898065ebf&thumb=Y,유료
755,연극,[강북문화재단] 419연극제 [극단 도시락] 하이타이,2025-03-28~2025-03-29,강북문화예술회관 강북진달래홀,누구나,"전석 20,000원",https://www.gbcf.or.kr/load.asp?subPage=110.View&page=1&idx=304,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=16d6ede22a454f3bbf922070d5c80687&thumb=Y,유료
756,기타,[서울디자인재단] 대학 협업 프로그램 사업설명회,2025-03-28~2025-03-28,DDP 디자인랩 3층 디자인홀,국내 디자인대학 및 대학생,,https://ddp.or.kr/index.html?menuno=239&siteno=2&bbsno=671&boardno=16&bbstopno=671&act=view&subno=,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=1d5698acb4c943b28f9d137bff161b3c&thumb=Y,무료
757,클래식,성경주 바이올린 독주회,2025-03-28~2025-03-28,금호아트홀연세,미취학아동 입장불가,"전석 20,000원",https://www.kumhoarthall.com:448/designer/skin/01/detail.html?p_idx=24811&s_idx=11&vwY=2025&vwM=&se_idx=,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=4603f859dbd6427681433202f3785757&thumb=Y,유료
758,기타,[서울생활문화센터 낙원] 락락 청음회 Vol.1 홍대 1세대 DJ 하성채!,2025-03-28~2025-03-28,서울생활문화센터 낙원 N스페이스(다목적홀),02-6959-8323,,https://www.nakwon-communityart.or.kr/bbs/edu&mode=view&no=157,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=d3f15a75716843c7925192803954ddd6&thumb=Y,무료
